id1,rel,id2
buzinv,FRIEND,egranova
egranova,FRIEND,buzinv
buzinv,FRIEND,marochkind
marochkind,FRIEND,buzinv
buzinv,FRIEND,umnovk
umnovk,FRIEND,buzinv
buzinv,FRIEND,koroleva
koroleva,FRIEND,buzinv
buzinv,FRIEND,yudakovv
yudakovv,FRIEND,buzinv
buzinv,FRIEND,pyanzinv
pyanzinv,FRIEND,buzinv
buzinv,FRIEND,sadykovr 
sadykovr,FRIEND,buzinv
buzinv,FRIEND,pivkina 
pivkina,FRIEND,buzinv
buzinv,FRIEND,terentyevv 
terentyevv,FRIEND,buzinv
buzinv,FRIEND,belyakova 
belyakova,FRIEND,buzinv
buzinv,FRIEND,andriyahina 
andriyahina,FRIEND,buzinv
egranova,FRIEND,marochkind 
marochkind,FRIEND,egranova
terentyevv,FRIEND,belovat 
belovat,FRIEND,terentyevv
terentyevv,FRIEND,kozlovam 
kozlovam,FRIEND,terentyevv
umnovk,FRIEND,kerimovk 
kerimovk,FRIEND,umnovk
umnovk,FRIEND,baturinv 
baturinv,FRIEND,umnovk
umnovk,FRIEND,kuzovnikova 
kuzovnikova,FRIEND,umnovk
koroleva,FRIEND,sadykovr
sadykovr,FRIEND,koroleva
koroleva,FRIEND,popovd
popovd,FRIEND,koroleva
koroleva,FRIEND,baturinv
baturinv,FRIEND,koroleva
koroleva,FRIEND,kuzovnikova
kuzovnikova,FRIEND,koroleva
pivkina,FRIEND,terentyevv
terentyevv,FRIEND,pivkina
pyanzinv,FRIEND,korneva
korneva,FRIEND,pyanzinv
